Company Names,Years of experience,Skills,Locations,Salaries,Links
Sparks To Ideas,0 - 1Years,"['Core Python', 'Numpy', 'Pycharm', 'DJango', 'Machine Learning', 'Pandas', 'Open Cv', 'HTML', 'css', 'SQL']",['Ahmedabad (Gujarat)'],2.05 - 6.10 Lakhs,https://www.timesjobs.com/job-detail/hiring-for-python-developer-sparks-to-ideas-ahmedabad-0-to-1-yrs-jobid-FDcok8ap1yBzpSvf__PLUS__uAgZw==&source=srp
LTIMindtree,8 - 12Years,"['Mandatory Skills : Dimensional Data ModelingGood to Have Skills : BI Solutions Architecture', 'PowerBI', 'Tableau']",['Pune (Maharashtra)'],As per Industry Standards,https://www.timesjobs.com/job-detail/data-scientist-ltimindtree-pune-8-to-12-yrs-jobid-TGiynJ__SLASH__wicpzpSvf__PLUS__uAgZw==&source=srp
World wide Immigration Service Llp,3 - 8Years,"['network engineer', 'network administrator', 'Network Configuration Maintenance', 'Network Designing', 'Network Architecture', 'Network Development']",['Luxembourg (Luxembourg)'],50.00 - 95.00 Lakhs,https://www.timesjobs.com/job-detail/network-engineer-job-in-luxembourg-with-family-world-wide-immigration-service-llp-3-to-8-yrs-jobid-IVmR46sG8txzpSvf__PLUS__uAgZw==&source=srp
LTIMindtree,8 - 12Years,"['Mandatory Skills : Dimensional Data ModelingGood to Have Skills : BI Solutions Architecture', 'PowerBI', 'Tableau']",['Pune (Maharashtra)'],As per Industry Standards,https://www.timesjobs.com/job-detail/data-scientist-ltimindtree-pune-8-to-12-yrs-jobid-2zlhcQSS3a5zpSvf__PLUS__uAgZw==&source=srp
TALPRO INDIA PRIVATE LIMITED,5 - 15Years,['Python'],['Bengaluru/ Bangalore (Karnataka)'],15.30 - 30.60 Lakhs,https://www.timesjobs.com/job-detail/python-developer-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-Pq7UUOQ82S5zpSvf__PLUS__uAgZw==&source=srp
SKYWALK VISA IMMIGRATION,2 - 7Years,"['Python Scripting', 'Data Analysis', 'Matlab', 'C++', 'Sql', 'Data Visualization', 'Mysql']","['Australia (Australia)', 'Canada (Canada)', 'New Zealand (New Zealand)', 'Singapore (Singapore)', 'Luxembourg (Luxembourg)']",53.30 - 87.25 Lakhs,https://www.timesjobs.com/job-detail/python-developer-skywalk-visa-immigration-australia-canada-new-zealand-singapore-null-2-to-7-yrs-jobid-RxGGCAmtsNBzpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,2 - 7Years,"['science', 'Matplotlib', 'GIT', 'Pandas', 'AWS', 'Numpy', 'Python', 'Django', 'Mongodb', 'Node', 'js']","['Doha (Doha)', 'Jeddah (Jeddah)', 'Abu Dhabi (Abu Dhabi)', 'Dubai (Dubai)', 'Sharjah (Sharjah)']",7.20 - 11.00 Lakhs,https://www.timesjobs.com/job-detail/python-developer-electrobrain-modern-technologies-pvt-ltd-doha-jeddah-abu-dhabi-dubai-sharjah-2-to-7-yrs-jobid-Doxfs75__SLASH__vv9zpSvf__PLUS__uAgZw==&source=srp
Team Management Services,1 - 6Years,"['Python', 'Azure (AZ-900)', 'Relational Databases (SQL', 'PostgreSQL', 'MySQL)', 'Azure DevOps', 'FastAPI', 'Flask', 'Django', 'REST APIs', 'API Development', 'Unit Testing']","['Noida/ Greater Noida (Uttar Pradesh)', 'Pune (Maharashtra)', 'Jaipur (Rajasthan)']",As per Industry Standards,https://www.timesjobs.com/job-detail/python-developer-team-management-services-noida-greater-noida-pune-jaipur-1-to-6-yrs-jobid-pJgVpSiZR9NzpSvf__PLUS__uAgZw==&source=srp
Sparks To Ideas,0 - 1Years,"['N', 'Core Python', 'Pandas', 'Numpy', 'Paycharm', 'SQL', 'Machine Learning', 'Data', 'Data Structure']","['Ahmedabad (Gujarat)', 'Bhavnagar (Gujarat)', 'Gandhinagar (Gujarat)', 'Junagarh (Gujarat)', 'Rajkot (Gujarat)']",1.05 - 6.10 Lakhs,https://www.timesjobs.com/job-detail/python-internship-sparks-to-ideas-ahmedabad-bhavnagar-gandhinagar-junagarh-rajkot-0-to-1-yrs-jobid-LLIcoq32tvpzpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,4 - 9Years,"['Node', 'js', 'Mongodb', 'Django', 'Python', 'Numpy', 'AWS', 'Api', 'Engineer', 'system administrator']","['Ahmedabad (Gujarat)', 'Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Hyderabad/ Secunderabad (Telangana)', 'Mumbai (Maharashtra)']",8.20 - 17.65 Lakhs,https://www.timesjobs.com/job-detail/python-developer-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-4-to-9-yrs-jobid-4aumk__PLUS__VMTKNzpSvf__PLUS__uAgZw==&source=srp
